15:50:18 [INFO] Discovering files in output/extracted_chm...
15:50:30 [INFO] Found 40625 HTML files
15:50:32 [INFO] [  0.2%] (100/40625) FunctionBay.RecurDyn.ProcessNet.Control.V8R2SP1toV8R3.html
15:50:33 [INFO] [  0.5%] (200/40625) functionbay.recurdyn.processnet.chart.V9R1SP1toV9R2.html
15:50:34 [INFO] [  0.7%] (300/40625) functionbay.recurdyn.processnet.particleinterface.V9R5SP1to2023.html
15:50:34 [INFO] [  1.0%] (400/40625) IADAnalysisResponseFEResult_NodeElementSet.html
15:50:35 [INFO] [  1.2%] (500/40625) IADDesignParameterAngular_Owner.html
15:50:35 [INFO] [  1.5%] (600/40625) IADDesignSAOReliability_Name.html
15:50:36 [INFO] [  1.7%] (700/40625) IADDesignVariableValueRobustOptimization_DesignVariableType.html
15:50:36 [INFO] [  2.0%] (800/40625) IADResultSheetMonteCarloReliability_StatisticalFrequency.html
15:50:37 [INFO] [  2.2%] (900/40625) IADSummarySheetSAOReliability_MPP_PROB_MEAN.html
15:50:37 [INFO] [  2.5%] (1000/40625) IBNPAssembly2D_Comment.html
15:50:38 [INFO] [  2.7%] (1100/40625) IBNPBeltCloneFlat_Graphic.html
15:50:38 [INFO] [  3.0%] (1200/40625) IBNPBeltGroup_AddAllOutputBelt.html
15:50:39 [INFO] [  3.2%] (1300/40625) IBNPBody2DGuideArc_Name.html
15:50:39 [INFO] [  3.4%] (1400/40625) IBNPBodyBeltTiming_Graphic.html
15:50:40 [INFO] [  3.7%] (1500/40625) IBNPBodyPulleyRoller_Comment.html
15:50:40 [INFO] [  3.9%] (1600/40625) IBNPContactSearch_UseUserBoundaryForPartialSearch.html
15:50:41 [INFO] [  4.2%] (1700/40625) IBNPGeometryBeltV_Thickness.html
15:50:41 [INFO] [  4.4%] (1800/40625) IBNPSubSystem_CreateBodyPulleyPrism.html
15:50:42 [INFO] [  4.7%] (1900/40625) ChainGuidePointsType.html
15:50:43 [INFO] [  4.9%] (2000/40625) IChainBodyGuardLateral_Comment.html
15:50:43 [INFO] [  5.2%] (2100/40625) IChainBodyLinkPin_UserData.html
15:50:44 [INFO] [  5.4%] (2200/40625) IChainContactPairInfo_CheckContactPair.html
15:50:44 [INFO] [  5.7%] (2300/40625) IChainGeometryGuide_Owner.html
15:50:45 [INFO] [  5.9%] (2400/40625) IChainGeometryLinkRoller_Pitch.html
15:50:49 [INFO] [  6.2%] (2500/40625) IChainGeometrySprocketMultiplex_RadiusDedendum.html
15:50:49 [INFO] [  6.4%] (2600/40625) IChainGroupGuideArc_FullName.html
15:50:50 [INFO] [  6.6%] (2700/40625) IChainLinkCloneMultiplexOffset_OwnerBody.html
15:50:50 [INFO] [  6.9%] (2800/40625) IChainLinkClonePin_Izz.html
15:50:51 [INFO] [  7.1%] (2900/40625) IChainProfileLinkSilent_Export.html
15:50:52 [INFO] [  7.4%] (3000/40625) ChainExample_IChainGeometrySprocketRoller_IChainProfileSprocket_Add.html
15:50:52 [INFO] [  7.6%] (3100/40625) IChart_GetAddtionalYAxis.html
15:50:53 [INFO] [  7.9%] (3200/40625) IValueFormat.html
15:50:53 [INFO] [  8.1%] (3300/40625) IControlGeneralCoSim_DeleteGeneralPlantOutput.html
15:50:54 [INFO] [  8.4%] (3400/40625) ControlExample_IControlGeneralToolkit_IControlGeneralPlantInput.html
15:50:55 [INFO] [  8.6%] (3500/40625) CoreExample_IContactCurveToCurveContact.html
15:50:55 [INFO] [  8.9%] (3600/40625) CoreExample_IGeometrySheetSweep_SweepSurface_WirePath.html
15:50:56 [INFO] [  9.1%] (3700/40625) CoreExample_IModelDocument_LayerSetting_LayerCollection.html
15:50:57 [INFO] [  9.4%] (3800/40625) CoreExample_IUserSubroutine_Arguments.html
15:50:58 [INFO] [  9.6%] (3900/40625) IDurabilityContourStyleOption.html
15:50:58 [INFO] [  9.8%] (4000/40625) IDurabilityRainflowCounting_TimeHistoryName.html
15:50:59 [INFO] [ 10.1%] (4100/40625) IExternalSPIToolkit.html
15:50:59 [INFO] [ 10.3%] (4200/40625) IProfile2DExternal_Length.html
15:51:00 [INFO] [ 10.6%] (4300/40625) IFFlexBody_CreateElement.html
15:51:00 [INFO] [ 10.8%] (4400/40625) IFFlexBody_OutputFileInfo.html
15:51:01 [INFO] [ 11.1%] (4500/40625) IFFlexContactCollection.html
15:51:01 [INFO] [ 11.3%] (4600/40625) IFFlexContactFSurfaceToFSurface_ActionPatchOption.html
15:51:02 [INFO] [ 11.6%] (4700/40625) IFFlexElementBeam_Comment.html
15:51:02 [INFO] [ 11.8%] (4800/40625) IFFlexExportMeshDataCommonOption.html
15:51:03 [INFO] [ 12.1%] (4900/40625) IFFlexLoadHeatFlux_HeatFlux.html
15:51:03 [INFO] [ 12.3%] (5000/40625) IFFlexMaterialAnisotropic2D_OwnerSubSystem.html
15:51:04 [INFO] [ 12.6%] (5100/40625) IFFlexMaterialMooneyRivlinRubber_Density.html
15:51:04 [INFO] [ 12.8%] (5200/40625) IFFlexMaterialPlastic_DampingRatio.html
15:51:05 [INFO] [ 13.0%] (5300/40625) IFFlexNodeSet_Color.html
15:51:05 [INFO] [ 13.3%] (5400/40625) IFFlexPropertyBeam_DY.html
15:51:06 [INFO] [ 13.5%] (5500/40625) IFFlexRTLGenerationOption_RefMarker.html
15:51:07 [INFO] [ 13.8%] (5600/40625) IMeshMode_CombineShell3.html
15:51:07 [INFO] [ 14.0%] (5700/40625) IMesherGeometryRefinement_UseMaxFacetSize.html
15:51:08 [INFO] [ 14.3%] (5800/40625) IMesherMeshOption_UseCurrentShellMeshInfo.html
15:51:08 [INFO] [ 14.5%] (5900/40625) ITargetFace_Name.html
